HR+D1039_1:101,
666.42,110.69
666.867,115.69
667.313,79.69
667.759,82.69
668.205,82.69
668.651,82.69
669.097,96.69
669.543,93.69
669.989,102.69
670.435,83.69
670.881,99.69
671.327,103.69
671.773,81.69
672.219,89.69
672.665,89.69
673.11,104.69
673.556,119.69
674.002,97.69
674.448,101.69
674.893,96.69
675.339,79.69
675.785,92.69
676.23,83.69
676.676,74.69
677.122,82.69
677.567,92.69
678.013,86.69
678.458,92.69
678.904,71.69
679.349,108.69
679.794,96.69
680.24,92.69
680.685,78.69
681.131,81.69
681.576,103.69
682.021,86.69
682.466,96.69
682.912,94.69
683.357,96.69
683.802,101.69
684.247,93.69
684.692,112.69
685.137,106.69
685.583,104.69
686.028,111.69
686.473,123.69
686.918,111.69
687.363,109.69
687.807,94.69
688.252,85.69
688.697,119.69
689.142,107.69
689.587,130.69
690.032,129.69
690.477,119.69
690.921,132.69
691.366,152.69
691.811,174.69
692.255,208.69
692.7,321.69
693.145,631.69
693.589,1639.69
694.034,3413.69
694.478,4424.69
694.923,3767.69
695.367,4138.69
695.812,1541.69
696.256,399.69
696.701,185.69
697.145,124.69
697.59,128.69
698.034,130.69
698.478,129.69
698.922,109.69
699.367,110.69
699.811,105.69
700.255,118.69
700.699,119.69
701.143,113.69
701.588,108.69
702.032,120.69
702.476,131.69
702.92,153.69
703.364,239.69
703.808,529.69
704.252,1141.69
704.696,1554.69
705.14,1295.69
705.584,1350.69
706.027,495.69
706.471,169.69
706.915,116.69
707.359,97.69
707.803,97.69
708.246,106.69
708.69,94.69
709.134,96.69
709.577,105.69
710.021,101.69
710.465,116.69
710.908,113.69
711.352,107.69
711.795,147.69
712.239,193.69
712.682,261.69
713.126,275.69
713.569,263.69
714.012,151.69
714.456,122.69
714.899,109.69
715.342,102.69
715.786,79.69
716.229,90.69
716.672,102.69
717.115,83.69
717.558,90.69
718.002,73.69
718.445,92.69
718.888,88.69
719.331,92.69
719.774,99.69
720.217,94.69
720.66,100.69
721.103,98.69
721.546,91.69
721.989,120.69
722.432,110.69
722.874,99.69
723.317,100.69
723.76,143.69
724.203,203.69
724.645,423.69
725.088,899.69
725.531,1184.69
725.974,953.69
726.416,627.69
726.859,213.69
727.301,134.69
727.744,109.69
728.187,112.69
728.629,101.69
729.071,113.69
729.514,102.69
729.956,97.69
730.399,95.69
730.841,88.69
731.283,119.69
731.726,105.69
732.168,109.69
732.61,106.69
733.053,124.69
733.495,121.69
733.937,130.69
734.379,125.69
734.821,155.69
735.263,285.69
735.705,662.69
736.148,1728.69
736.59,2846.69
737.032,2259.69
737.474,1547.69
737.916,512.69
738.357,219.69
738.799,134.69
739.241,125.69
739.683,112.69
740.125,101.69
740.567,120.69
741.008,101.69
741.45,122.69
741.892,129.69
742.334,120.69
742.775,122.69
743.217,113.69
743.658,116.69
744.1,109.69
744.542,128.69
744.983,133.69
745.425,137.69
745.866,144.69
746.307,165.69
746.749,178.69
747.19,268.69
747.632,507.69
748.073,1437.69
748.514,3157.69
748.956,3315.69
749.397,3489.69
749.838,2745.69
750.279,1880.69
750.72,870.69
751.162,310.69
751.603,203.69
752.044,149.69
752.485,137.69
752.926,135.69
753.367,145.69
753.808,145.69
754.249,133.69
754.69,137.69
755.131,144.69
755.572,143.69
756.013,147.69
756.453,165.69
756.894,185.69
757.335,174.69
757.776,173.69
758.216,166.69
758.657,171.69
759.098,196.69
759.538,219.69
759.979,338.69
760.42,595.69
760.86,1521.69
761.301,5266.69
761.741,12163.69
762.182,10936.69
762.622,6035.69
763.063,1798.69
763.503,596.69
763.943,324.69
764.384,231.69
764.824,213.69
765.264,200.69
765.705,175.69
766.145,157.69
766.585,165.69
767.025,159.69
767.465,155.69
767.906,155.69
768.346,173.69
768.786,188.69
769.226,248.69
769.666,523.69
770.106,1487.69
770.546,4607.69
770.986,5315.69
771.426,3268.69
771.866,1190.69
772.306,433.69
772.745,211.69
773.185,155.69
773.625,146.69
774.065,126.69
774.505,128.69
774.944,137.69
775.384,129.69
775.824,119.69
776.263,122.69
776.703,124.69
777.142,106.69
777.582,107.69
778.021,101.69
778.461,107.69
778.9,106.69
779.34,119.69
779.779,105.69
780.219,103.69
780.658,109.69
781.097,103.69
781.537,121.69
781.976,112.69
782.415,101.69
782.855,85.69
783.294,105.69
783.733,112.69
784.172,102.69
784.611,112.69
785.05,85.69
785.489,110.69
785.928,107.69
786.367,99.69
786.806,111.69
787.245,121.69
787.684,111.69
788.123,112.69
788.562,105.69
789.001,106.69
789.44,94.69
789.879,113.69
790.317,103.69
